X,Y,id,data,luogo,x,y,numero_predati,specie_predate,osservazioni,icon_url
8.72201817729016,46.2331592852333,598,2022/09/24 00:00:00,Aurigeno,2699000,1121000,1,pecora,Animali protetti adeguatamente In attesa di riscontro DNA,./1.png
8.69651153480731,46.2514395187122,599,2022/09/24 00:00:00,Maggia,2697000,1123000,1,pecora,Tre animali dispersi Animali non proteggibili Riscontro DNA: lupo,./1.png
9.06736464961632,46.0757526813952,600,2022/09/23 00:00:00,Valcolla,2726000,1104000,1,capra,Due animali dispersi Animali non protetti adeguatamente Riscontro DNA: lupo,./1.png
8.97741111921024,46.0950113119177,601,2022/09/22 00:00:00,Capriasca,2719000,1106000,1,pecora,Animali non protetti adeguatamente In attesa di riscontro DNA,./1.png
8.85372944305986,46.3125610423728,602,2022/09/20 00:00:00,Lavertezzo,2709000,1130000,15,pecore in avanzato stato di decomposizione,Alcuni animali dispersi Animali non proteggibili Riscontro DNA: lupo,./2.png
8.99136222423412,46.1308093215312,603,2022/09/17 00:00:00,Isone,2720000,1110000,1,capra,Animali non protetti adeguatamente Riscontro DNA: lupo,./1.png
8.46464820911024,46.3347481517528,604,2022/09/16 00:00:00,Bosco Gurin,2679000,1132000,2,pecore,Alcuni animali dispersi Animali non proteggibili Riscontro DNA: lupo,./1.png
8.52017130971646,46.5141613017975,605,2022/09/12 00:00:00,Bedretto,2683000,1152000,2,pecore ferite,Proteggibilità non verificabile In attesa di riscontro DNA,./1.png
8.97741111921024,46.0950113119177,606,2022/09/11 00:00:00,Capriasca,2719000,1106000,1,capra,Animali non protetti adeguatamente Riscontro DNA: lupo,./1.png
8.97741111921024,46.0950113119177,607,2022/09/09 00:00:00,Capriasca,2719000,1106000,1,capra,Animali non proteggibili Riscontro DNA: lupo,./1.png
8.97741111921024,46.0950113119177,608,2022/09/07 00:00:00,Capriasca,2719000,1106000,1,pecora,Due pecore disperse Animali non protetti adeguatamente Riscontro DNA: lupo,./1.png
8.45132705956641,46.3168752551881,609,2022/09/04 00:00:00,Bosco Gurin,2678000,1130000,1,pecore,Animali non proteggibili Riscontro DNA: lupo,./1.png
8.47763411544551,46.3346297932931,610,2022/09/02 00:00:00,Bosco Gurin,2680000,1132000,1,pecora,Alcuni animali dispersi Animali non proteggibili DNA non raccoglibile causa avanzato stato di decomposizione,./1.png
8.87145048336554,46.4922808788015,611,2022/08/31 00:00:00,Acquarossa,2710000,1150000,1,vitello,Riscontro DNA: lupo,./1.png
8.88663648840477,46.5730625186842,612,2022/08/28 00:00:00,Berneggio,2711000,1159000,1,pecora,Animali non protetti adeguatamente Riscontro DNA: lupo,./1.png
8.76792872849946,46.5205302484453,613,2022/08/27 00:00:00,Blenio,2702000,1153000,1,vitello,Riscontro DNA: lupo,./1.png
8.45132705956641,46.3168752551881,614,2022/08/27 00:00:00,Bosco Gurin,2678000,1130000,1,capra,Alcuni animali dispersi Animali protetti adeguatamente Riscontro DNA: lupo,./1.png
9.08299648371226,46.1655011159989,615,2022/08/22 00:00:00,Carena,2727000,1114000,1,pecora,Animali protetti adeguatamente DNA non raccoglibile,./1.png
8.49044589359369,46.325515120203,616,2022/08/19 00:00:00,Bosco Gurin,2681000,1131000,2,pecore,Animali non proteggibili Riscontro DNA: lupo,./1.png
9.04231186479961,46.1031042362235,617,2022/08/18 00:00:00,Capriasca,2724000,1107000,1,vitello,DNA non raccoglibile causa ferite vecchie e cicatrizzate,./1.png
8.46329160170956,46.2627892760815,618,2022/08/17 00:00:00,Sfille,2679000,1124000,2,vitelli feriti al muso,Riscontro DNA: lupo.,./1.png
8.86789147328974,46.3573687958984,619,2022/08/16 00:00:00,Personico,2710000,1135000,1,carcassa di pecora in avanzato stato di decomposizioni,Alcuni animali dispersi DNA non raccoglibile causa avanzato stato di decomposizione,./1.png
9.04231186479961,46.1031042362235,620,2022/08/14 00:00:00,Capriasca,2724000,1107000,1,capra,Alcuni animali dispersi Animali non proteggibili DNA non raccoglibile,./1.png
8.88835024178609,46.1501742477569,622,2022/08/11 00:00:00,Iragna,2712000,1112000,3,pecore,Alcune carcasse ritrovate durante i 15 giorni precedenti Alcuni animali dispersi Animali non proteggibili,./0.png
9.0174943289632,46.1394440240822,623,2022/08/10 00:00:00,Isone,2722000,1111000,1,carcassa di pecora in avanzato stato di decomposizione,Alcuni animali dispersi Animali non proteggibili DNA non raccoglibile causa avanzato stato di decomposizione,./1.png
8.99341355271129,46.2027599407918,624,2022/08/06 00:00:00,Carasso,2720000,1118000,1,carcassa di pecora in avanzato stato di decomposizione,Animali non protetti adeguatamente DNA non raccoglibile causa avanzato stato di decomposizione,./1.png
8.46312227668882,46.2537944249477,625,2022/08/01 00:00:00,Sfille,2679000,1123000,3,capre,Alcuni animali dispersi Animali non proteggibili In attesa di riscontro DNA,./0.png
8.97741111921024,46.0950113119177,626,2022/07/30 00:00:00,Capriasca,2719000,1106000,1,pecora,Animali non protetti adeguatamente Riscontro DNA: cane,./1.png
8.52017130971646,46.5141613017975,627,2022/07/29 00:00:00,Bedretto,2683000,1152000,2,pecore,Alcuni animali dispersi Animali non protetti adeguatamente riscontro DNA: lupo,./1.png
8.49166559994765,46.3884788986068,628,2022/07/27 00:00:00,Antabbia,2681000,1138000,7,carcasse di pecora in avanzato stato di decomposizione,Animali non protetti adeguatamente DNA non raccoglibile causa avanzato stato di decomposizione,./2.png
8.85819212700623,46.4834502587039,629,2022/07/24 00:00:00,Alpe Nara,2709000,1149000,4,carcasse di pecora in avanzato stato di decomposizione,Animali non proteggibili DNA non raccoglibile causa avanzato stato di decomposizione,./0.png
8.7418690641216,46.5208320592651,630,2022/07/23 00:00:00,Quinto,2700000,1153000,13,carcasse di pecora in avanzato stato di decomposizione,Alcuni animali dispersi Animali non proteggibili DNA non raccoglibile causa avanzato stato di decomposizione,./2.png
8.46329160170956,46.2627892760815,631,2022/07/21 00:00:00,Sfille,2679000,1124000,3,capre,Animali non proteggibili riscontro DNA: lupo,./0.png
8.49184007364786,46.3974737228957,632,2022/07/18 00:00:00,Antabbia,2681000,1139000,7,carcasse di pecora in avanzato stato di decomposizione,Animali non protetti adeguatamente DNA non raccoglibile causa avanzato stato di decomposizione,./2.png
8.85842778171399,46.4924444073671,634,2022/07/14 00:00:00,Alpe Nara,2709000,1150000,2,carcasse di pecora in avanzato stato di decomposizione,Un capo disperso Animali non proteggibili DNA non raccoglibile causa avanzato stato di decomposizione,./1.png
8.47866683494486,46.3885988648307,635,2022/07/12 00:00:00,Antabbia,2680000,1138000,3,pecore,Alcuni animali dispersi Alcune carcasse in avanzato stato di decomposizione Animali non protetti adeguatamente,./0.png
8.7017301334667,46.4763013239802,754,2004/07/02 17:01:01,Prato Leventina,2697000,1148000,1,capra ferita,,./1.png
8.47866683494486,46.3885988648307,636,2022/07/09 00:00:00,Antabbia,2680000,1138000,4,pecore,Alcuni animali dispersi Alcune carcasse in avanzato stato di decomposizione Animali non protetti adeguatamente,./0.png
8.85819212700623,46.4834502587039,637,2022/07/03 00:00:00,Alpe Nara,2709000,1149000,2,pecore,Alcuni animali dispersi Animali non proteggibili riscontro DNA: lupo,./1.png
8.99008287229548,46.0858403442264,638,2022/07/02 00:00:00,Rompiago,2720000,1105000,2,capre ferite,Alcuni animali dispersi Animali non protetti adeguatamente riscontro DNA: lupo,./1.png
8.91198562120571,46.545745484457,640,2022/06/25 00:00:00,Olivone,2713000,1156000,1,pecora,Animali non protetti adeguatamente riscontro DNA: volpe,./1.png
8.95505491779458,46.2212759435446,641,2022/06/24 00:00:00,Gorduno,2717000,1120000,1,pecora,Animali non proteggibili riscontro DNA: cane,./1.png
9.06709634186451,46.0667590886545,642,2022/06/11 00:00:00,Certara,2726000,1103000,1,capra,Animali non protetti adeguatamente Riscontro DNA: lupo,./1.png
8.47746219397383,46.3256349488167,643,2022/06/03 00:00:00,Bosco Gurin,2680000,1131000,21,pecore,Al momento dell'attacco animali non proteggibili Riscontro DNA: lupo,./2.png
8.99341355271129,46.2027599407918,644,2022/06/02 00:00:00,Carasso,2720000,1118000,1,pecora,Al momento dell’attacco animali non protetti adeguatamente Riscontro DNA: non interpretabile.,./1.png
8.83168838148687,46.4657843682378,645,2022/06/02 00:00:00,Sorsello,2707000,1147000,1,pecora,Al momento dell'attacco animali non protetti,./1.png
8.83168838148687,46.4657843682378,646,2022/05/31 00:00:00,Sorsello,2707000,1147000,4,pecore,Al momento dell'attacco animali non protetti,./0.png
8.82570444386,46.231934573783,647,2022/05/17 07:20:00,Corippo,2707000,1121000,1,pecora,Al momento dell’attacco animali non protetti adeguatamente,./1.png
8.52885543755802,46.298162409431,648,2022/04/26 00:00:00,Piedipiodi/Cerentino,2684000,1128000,19,pecore,Al momento dell'attacco animali non proteggibili,./2.png
8.99882401759039,46.3916310495176,649,2022/04/19 00:00:00,Solgone/Pontirone,2720000,1139000,1,capra,Al momento dell'attacco animali non protetti,./1.png
8.97009102780389,45.8341940880725,650,2022/04/12 00:00:00,Novazzano,2719000,1077000,13,pecore,Al momento dell'attacco animali non protetti adeguatamente,./2.png
9.05710855589218,46.1658752484676,651,2022/04/11 00:00:00,Vellano/Morobbia,2725000,1114000,1,pecora,Al momento dell'attacco animali non protetti adeguatamente,./1.png
8.52885543755802,46.298162409431,652,2022/03/30 00:00:00,Piedipiode/Cerentino,2684000,1128000,4,pecore,Al momento dell'attacco animali non protetti adeguatamente,./0.png
8.88399322932781,46.4741276637505,653,2021/11/10 00:00:00,Piandios/Acquarossa,2711000,1148000,4,capre,Al momento dell’attacco animali non protetti,./0.png
9.03914401162497,46.436056533826,654,2021/10/27 00:00:00,Monte Cregua/Malvaglia,2723000,1144000,1,pecora,Al momento dell’attacco animali non protetti,./1.png
