Data,Luogo,X,Y,Numero_Predati,Specie_Predate,Osservazioni,Long,Lat
2024-08-30 00:00:00,Gordevio,2702000,1123000,1,capra ferita,Due animali segnalati come dispersi Animali non proteggibili In attesa di riscontro analisi DNA,8.761338130681182,46.250699851104464
2024-08-29 00:00:00,Gordevio,2703000,1121000,1,capra,Animali non proteggibili In attesa di riscontro analisi DNA,8.77386189037773,46.23255882377604
2024-08-20 00:00:00,Fusio,2295000,1143000,3,capre,Animali non proteggibili Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo.,3.473398045025642,46.36892340941187
2024-08-20 00:00:00,Bedretto,2682000,1152000,1,pecora,Animali non protetti per cause di forza maggiore Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo.,8.507142426065572,46.514284533548484
2024-08-19 00:00:00,Bosco Gurin,2679000,1130000,3,capre,Animali non proteggibili Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo.,8.464308722277014,46.316758424829025
2024-08-19 00:00:00,Pura,2710000,1094000,2,pecore,Animali non protetti adeguatamente Le analisi genetiche non hanno riscontrato in modo inequivocabile il coinvolgimento di un grande predatore.,8.858252637067316,45.9886109568613
2024-08-17 00:00:00,Monteceneri,2712000,1108000,1,capra,Animali non protetti per cause di forza maggiore Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo.,8.887394195663019,46.11419811212407
2024-08-13 00:00:00,Bedretto,2676000,1149000,11,pecore,Animali non proteggibili Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo.,8.428474870306886,46.48800785225829
2024-08-08 00:00:00,Blenio,2714000,1160000,6,pecore,Animali protetti adeguatamente Le analisi genetiche hanno riscontro il coinvolgimento di un grande predatore,8.926009619058958,46.58155170792154
2024-08-03 00:00:00,Fusio,2696000,1145000,1,capra,Un capo segnalato come disperso Animali non proteggibili Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo,8.688088771332843,46.449461930390285
2024-08-03 00:00:00,Sagno,2724000,1079000,1,pecora,Animali non protetti adeguatamente Le analisi genetiche non hanno riscontrato il coinvolgimento di un grande predatore,9.034943724380767,45.85128441222654
2024-07-29 00:00:00,Bedretto,2676000,1149000,11,pecore,Un numero imprecisato di animali segnalati come dispersi Animali non proteggibili Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo,8.428474870306886,46.48800785225829
2024-07-24 00:00:00,Gordevio,2702000,1123000,1,capra,Un animale segnalato come disperso Animali non proteggibili Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo,8.761338130681182,46.250699851104464
2024-07-23 00:00:00,Gordevio,2702000,1123000,1,capra ferita,Un animale segnalato come disperso Animali non proteggibili Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo,8.761338130681182,46.250699851104464
2024-07-22 00:00:00,Gordevio,2703000,1120000,1,capra ferita,Animali non proteggibili Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo,8.773641325744162,46.22356451200398
2024-07-21 00:00:00,Faido,2704000,1151000,1,capra,Animali protetti adeguatamente Le analisi genetiche non hanno riscontrato il coinvolgimento di un grande predatore,8.793538037844232,46.502233919115184
2024-07-18 00:00:00,Vergeletto,2682000,1120000,1,capra ferita,Un animale segnalato come disperso Animali non proteggibili Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo,8.501494921138713,46.22645104893529
2024-07-18 00:00:00,Gordevio,2703000,1120000,1,capra,Un animale segnalato come disperso Animali non proteggibili Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo,8.773641325744162,46.22356451200398
2024-07-17 00:00:00,Capriasca,2276000,1104000,1,capra ferita,Due animali segnalati come dispersi Animali non proteggibili -Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo,3.253872928907291,46.0096854114345
